Altium Designer Pick and Place Locations
C:\Users\safan\OneDrive\Desktop\ESP32-S3\Pick Place\Pick Place for ESP32-S3-USBC-v1.txt

========================================================================================================================
File Design Information:

Date:       24/07/26
Time:       17:26
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment             Layer       Footprint                  Center-X(mil) Center-Y(mil) Rotation Description                                                                    
U3         TL1963A-33DCYR      TopLayer    DCY0004A_N                 780.000       290.000       0        "IC REG LIN 3.3V 1.5A SOT-223-4"                                               
U2         FT231XQ-R           TopLayer    FP-QFN-20-IPC_B            710.000       770.000       270      "USB to Full Handshake UART Interface QFN20 Reel (not offered in your region)" 
U1         ESP32-S3-MINI-1-N8  TopLayer    XCVR_ESP32-S3-MINI-1-N8    2395.039      500.000       270      "SMD module, ESP32-S3FN8, 8 MB SPI flash, PCB antenna"                         
SW2        PTS645SH50SMTR92LFS TopLayer    FP-PTS645SH50SMTR92LFS-MFG 1400.000      750.000       180      "SWITCH TACTILE SPST-NO 0.05A 12V"                                             
SW1        PTS645SH50SMTR92LFS TopLayer    FP-PTS645SH50SMTR92LFS-MFG 1400.000      250.000       180      "SWITCH TACTILE SPST-NO 0.05A 12V"                                             
R26        "0 ohm"             TopLayer    RESC1005X37N               1990.000      450.000       180      "RES 0 OHM JUMPER 1/16W 0402"                                                  
R25        "0 ohm"             TopLayer    RESC1005X37N               1990.000      515.000       180      "RES 0 OHM JUMPER 1/16W 0402"                                                  
R24        "0 ohm"             TopLayer    RESC1005X37N               1956.000      450.000       180      "RES 0 OHM JUMPER 1/16W 0402"                                                  
R23        "0 ohm"             TopLayer    RESC1005X37N               1956.000      515.000       180      "RES 0 OHM JUMPER 1/16W 0402"                                                  
R22        27ohm               TopLayer    RESC1005X37N               1970.000      790.000       0        "RES 27 OHM 1% 1/16W 0402"                                                     
R21        27ohm               TopLayer    RESC1005X37N               1970.000      840.000       0        "RES 27 OHM 1% 1/16W 0402"                                                     
R20        "0 ohm"             TopLayer    RESC1005X37N               2135.000      145.000       180      "RES 0 OHM JUMPER 1/16W 0402"                                                  
R19        "0 ohm"             TopLayer    RESC1005X37N               2035.000      145.000       180      "RES 0 OHM JUMPER 1/16W 0402"                                                  
R18        10kohm              TopLayer    RESC1005X37N               1005.000      810.000       90       "RES SMD 10K OHM 1% 1/16W 0402"                                                
R17        10kohm              TopLayer    RESC1005X37N               1650.000      290.000       90       "RES SMD 10K OHM 1% 1/16W 0402"                                                
R16        10kohm              TopLayer    RESC1005X37N               1005.000      665.000       270      "RES SMD 10K OHM 1% 1/16W 0402"                                                
R15        5.1kohm             TopLayer    RESC1005X37N               410.000       247.008       270      "RES 5.1K OHM 1% 1/16W 0402"                                                   
R14        5.1kohm             TopLayer    RESC1005X37N               411.000       153.000       90       "RES 5.1K OHM 1% 1/16W 0402"                                                   
R13        10kohm              TopLayer    RESC1005X37N               888.992       610.000       180      "RES SMD 10K OHM 1% 1/16W 0402"                                                
R12        5.1kohm             TopLayer    RESC1005X37N               424.000       831.008       270      "RES 5.1K OHM 1% 1/16W 0402"                                                   
R11        5.1kohm             TopLayer    RESC1005X37N               425.000       735.992       90       "RES 5.1K OHM 1% 1/16W 0402"                                                   
R10        4.7kohm             TopLayer    RESC1005X37N               890.000       660.000       0        "RES 4.7K OHM 1% 1/16W 0402"                                                   
R9         10kohm              TopLayer    RESC1005X37N               890.000       558.000       0        "RES SMD 10K OHM 1% 1/16W 0402"                                                
R8         "0 ohm"             TopLayer    RESC1005X37N               600.000       610.000       90       "RES 0 OHM JUMPER 1/16W 0402"                                                  
R7         27ohm               TopLayer    RESC1005X37N               540.000       795.000       0        "RES 27 OHM 1% 1/16W 0402"                                                     
R6         27ohm               TopLayer    RESC1005X37N               540.000       740.000       0        "RES 27 OHM 1% 1/16W 0402"                                                     
R5         "0 ohm"             TopLayer    RESC1005X37N               895.000       850.000       180      "RES 0 OHM JUMPER 1/16W 0402"                                                  
R4         1kohm               TopLayer    RESC1005X37N               1785.000      800.000       270      "RES 1K OHM 1% 1/16W 0402"                                                     
R3         1kohm               TopLayer    RESC1005X37N               1785.000      200.000       90       "RES 1K OHM 1% 1/16W 0402"                                                     
R2         "0 ohm"             TopLayer    RESC1005X37N               735.000       528.000       180      "RES 0 OHM JUMPER 1/16W 0402"                                                  
R1         "0 ohm"             TopLayer    RESC1005X37N               701.000       527.000       0        "RES 0 OHM JUMPER 1/16W 0402"                                                  
Q2         SS8050-G            TopLayer    FP-SS8050-G-IPC_B          1120.000      810.000       0        "TRANS NPN 25V 1.5A SOT-23-3"                                                  
