Altium Designer Pick and Place Locations
C:\Users\safan\OneDrive\Desktop\embedded-works\charging-module\.\Pick Place\Pick Place for charging-module.txt

========================================================================================================================
File Design Information:

Date:       13/09/26
Time:       22:04
Revision:   a048438d2724ce6d82848ddbf1d0ec3d81cc3e94
Variant:    No variations
Units used: mil

Designator Comment            Layer    Footprint                         Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                     
L1         " 2.2uH"           TopLayer INDPM7265X300N                    1575.000      490.000       180      "Inductor Power Shielded Wirewound 2.2uH 20% 1MHz Metal 6.8A 0.0193Ohm DCR T/R"                                                                 
U2         DMG3415U-7         TopLayer SOT95P240X105-3N                  750.000       445.000       270      "P-ch Mosfet 20V 4A 39MO@4A, 4.5V 9.1NC@4.5V 294PF@10V SOT-23-3 SMD 2.9MM × 1.3MM × 1.03MM"                                                     
R18        100k               TopLayer SMD-0603-RES                      1690.000      955.000       360      "RES SMD 100K OHM 1% 1/10W 0603"                                                                                                                
R17        100k               TopLayer SMD-0603-RES                      825.000       575.000       90       "RES SMD 100K OHM 1% 1/10W 0603"                                                                                                                
R15        10k                TopLayer SMD-0201-RES                      740.000       590.000       90       "RES SMD 10K OHM 1% 1/20W 0201"                                                                                                                 
Q1         2N7002BKW,115      TopLayer SC70_SOT323                       1690.000      800.000       270      "MOSFET N-CH 60V 310MA SOT323"                                                                                                                  
D5         "40V 1.5A"         TopLayer SMC                               575.000       725.000       90       "Rectifier Diode Schottky Si 40V 1.5A Automotive T/R / Surface Mount Schottky Power Rectifier"                                                  
J3         217183-0001        TopLayer 2171830001                        530.000       1287.638      180      "Connector USB Type C Hybrid Female 24Positions 0.5mm Right Angle Through Hole Embossed T/R"                                                    
R1         750k               TopLayer SMD-0402-RES                      1710.000      675.000       90       "RES SMD 750K OHM 1% 1/10W 0402"                                                                                                                
R13        56k                TopLayer SMD-0402-RES                      1075.000      1360.000      90       "RES SMD 56K OHM 5% 1/10W 0402"                                                                                                                 
R11        56k                TopLayer SMD-0402-RES                      1430.000      1040.000      180      "RES SMD 56K OHM 5% 1/10W 0402"                                                                                                                 
